id,commented_em,commented_em_trim,commented_bleu,commented_bleu_trim,comments_removed_em,comments_removed_em_trim,comments_removed_bleu,comments_removed_bleu_trim
8874,1,1,100.0,100.0,0,0,97.10683846695656,97.10683846695656
7328,0,0,74.28067729447639,75.40207049904156,0,0,77.7496041809988,78.97905794125157
8251,0,0,11.701136947456076,11.701136947456076,0,0,11.453196896328475,10.17197444209964
10924,0,0,23.69667154599274,56.1165886291806,0,0,27.439305072969862,44.62360735999352
7305,0,0,42.577091623047735,86.43168437632532,0,0,49.102841349719874,54.712669983601394
12046,0,0,95.37396378261123,97.63220382716179,0,0,72.70801270079144,70.91061824373985
8546,0,0,60.16539566481629,67.19813663726663,0,0,64.71552094062322,65.5991223691409
8136,0,0,92.48635171836143,92.48635171836143,0,0,71.43704050795058,71.43704050795058
4499,0,0,58.929548606488346,58.929548606488346,0,0,53.38575093982046,53.38575093982046
9852,0,0,96.6916507260178,96.6916507260178,0,0,60.390230435489975,62.10437483305672
7923,0,0,98.78406956910864,98.78406956910864,0,0,84.11134332619504,83.9722531473462
7294,0,0,79.33954490166036,79.33954490166036,0,0,49.82523373601526,49.39497863728023
11847,0,0,96.67985382790732,98.31190049157489,0,0,88.81130286925367,88.68720569820783
9878,0,0,98.5962986531924,98.5962986531924,0,0,89.21825633882368,89.21825633882368
12476,0,0,2.6258866403716796,19.37307692912572,0,0,2.2652361746482965,24.916156080435197
4712,0,0,32.17557717364387,32.17557717364387,0,0,32.17557717364387,32.17557717364387
8201,0,0,98.00939816446933,85.29188173702603,0,0,71.86331477418139,70.46847942533017
4509,0,0,70.06532561319912,69.85828078149645,0,0,39.785132350818614,39.268965828534064
12314,0,0,96.67985382790732,98.31190049157489,0,0,61.562346653823674,61.030834349366835
12420,0,0,76.97312479314729,77.65889157885579,0,0,75.04210520701812,74.83736248688159
12416,0,0,6.482014818165663,6.482014818165663,0,0,7.619339990630588,7.619339990630588
6861,0,0,65.10052624895627,74.97259932640533,0,0,70.64891506511282,70.64891506511282
