id,comments_removed_em,comments_removed_em_trim,comments_removed_bleu,comments_removed_bleu_trim
8874,0,0,27.885906396236432,97.10473458285081
7328,0,0,1.3645317461614281,64.82450276641151
8251,0,0,2.149826700088422,12.358946196187109
10924,0,0,4.458475858612169,37.787073852859685
7305,0,0,4.866490384402989,72.6844348695293
12046,0,0,6.455048905139919,70.91061824373985
8546,0,0,4.0473629163673825,20.13156803738698
8136,0,0,7.137170631187746,72.40165437637256
4499,0,0,5.812418896954034,80.07511432714685
9852,0,0,2.1043015528637383,62.4827347826958
7923,0,0,10.625879782874069,84.41744917788884
7294,0,0,1.6478722957287386,66.1275317649645
11847,0,0,8.676101249169072,79.51322162645427
9878,0,0,6.70806788992959,89.21825633882368
12476,0,0,1.5681987876770787,26.856182163979646
4712,0,0,6.142531999815267,10.944372501761185
8201,0,0,12.922311140915882,70.46847942533017
4509,0,0,1.6586417675434715,37.363831623026506
12314,0,0,7.628584517249239,61.030834349366835
12420,0,0,9.330485260106665,74.83736248688159
12416,0,0,1.7331396294302595,10.192314928790767
6861,0,0,6.453289525491736,56.578779764197016
4491,0,0,8.159854119998965,55.83818686128195
12513,0,0,10.79102035942628,55.49303948897939
10144,0,0,12.897501259913597,93.12051183302627
10145,0,0,9.71464025557755,70.98632903126935
8440,0,0,7.199167042782919,19.577987469865825
4507,0,0,7.853236097366814,71.91572292452526
10920,0,0,7.363243679053991,3.406063389221023
10227,0,0,9.997158735903401,76.626384764806
8464,0,0,5.933502408644276,58.7614772545638
1643,0,0,7.69503059889635,81.00331716510448
7295,0,0,7.499824426193673,46.25157924396532
8166,0,0,11.67932616218483,72.20065065608833
13517,0,0,1.9485399730182036,34.36589638631278
9879,0,0,8.677488291826085,61.16952238318607
4522,0,0,1.9482711401600725,67.9474747371853
7089,0,0,3.5874436002671177,34.080767984903716
8489,0,0,4.886075867884335,56.728195230606524
12432,0,0,6.499048348607079,52.35726905528697
8502,0,0,15.58224386327993,84.50111766153346
11843,0,0,15.883200891435326,100.0
7336,0,0,11.454178675852033,83.72862088757303
9857,0,0,6.91720018229815,66.30259624010046
10113,0,0,7.603996299840296,75.16696595717302
4542,0,0,14.532911648116556,99.35998187122918
7922,0,0,6.427221524000312,58.163094806329575
9796,0,0,2.3401286158955896,44.91710663864911
14783,0,0,15.496932037621441,93.05308958112056
12522,0,0,6.899500798013506,49.28978868215182
4487,0,0,10.708613469575885,76.89514811337418
7090,0,0,7.905457588984698,73.47645867425288
9855,0,0,14.240140652808694,67.08512504366219
8876,0,0,7.30105954443119,50.77783931048712
8576,0,0,11.206972278202551,78.8797642638672
8438,0,0,5.317648586590488,41.59488502309768
11809,0,0,3.2573031449626004,20.194459960643595
10143,0,0,1.422253962894863,75.308430944483
12985,0,0,3.4723543547864,57.95782787848095
7098,0,0,4.318721476157599,72.14500786400136
7318,0,0,9.968399427559348,79.26672969464134
8203,0,0,2.7438066744132454,9.439774001285386
8535,0,0,18.36296496833226,94.30819286591114
8344,0,0,13.98316687241662,74.08182206817179
7332,0,0,6.92646659374892,73.29476989945012
9955,0,0,0.6545500864478355,13.56526014117965
11893,0,0,3.5178224567603724,62.77653056941731
4464,0,0,8.661391772170754,39.67037216346965
6706,0,0,3.8900167313625618,52.94329205949705
8439,0,0,7.7805501893329385,43.652339085994804
4493,0,0,7.9481663952425174,79.53730475020623
12313,0,0,8.343969037954887,63.50968558808239
10133,0,0,6.407570039841065,45.24397215710624
8393,0,0,4.6169303412859195,87.55738539291424
11796,0,0,1.4397616430949083,23.1593399005031
4547,0,0,6.41133609784221,44.248185300141245
4720,0,0,7.936846501650901,60.55669033553179
9813,0,0,21.725118153423757,84.12200538487824
4528,0,0,3.0647829887779037,21.583355465756
4715,0,0,6.55893472214034,79.25036722124435
8771,0,0,3.3624230682011675,26.615473738396446
