id,commented_em,commented_em_trim,commented_bleu,commented_bleu_trim,comments_removed_em,comments_removed_em_trim,comments_removed_bleu,comments_removed_bleu_trim
8874,0,0,99.47711430766694,99.47711430766694,0,0,97.10683846695656,97.10683846695656
7328,0,0,81.76847999266491,83.08226264961296,0,0,76.55784418042406,77.7496041809988
8251,0,0,39.76936096617349,97.78929755596039,0,0,26.228520910802082,35.772804345028995
10924,0,0,32.89688532471524,85.97052744410082,0,0,29.240259618528057,68.8642163822471
7305,0,0,86.48763626135498,86.43168437632532,0,0,72.9161424892655,72.70285131373734
12046,0,0,97.63220382716179,100.0,0,0,71.49251008635133,70.91061824373985
8546,0,0,87.36146236598844,88.57077664070468,0,0,56.80045599326995,64.26466533917782
8136,0,0,87.9569906241912,87.9569906241912,0,0,69.44733974346738,69.44733974346738
4499,0,0,82.99044663082046,82.99044663082046,0,0,82.44618640010584,82.44618640010584
9852,0,0,76.9350600822043,76.9350600822043,0,0,36.94150278355671,36.94150278355671
7923,0,0,98.78406956910864,98.78406956910864,0,0,84.11134332619504,83.9722531473462
7294,0,0,63.32913413528326,63.32913413528326,0,0,59.30922620632207,59.30922620632207
11847,0,0,96.67985382790732,98.31190049157489,0,0,88.81130286925367,88.68720569820783
9878,0,0,98.5962986531924,98.5962986531924,0,0,89.21825633882368,89.21825633882368
12476,0,0,5.414469911762076,18.691268280138107,0,0,8.315694801617433,12.307800793875282
4712,0,0,44.76400201009177,60.43310405445633,0,0,48.969400043779345,71.461649103144
8201,0,0,98.00939816446933,85.29188173702603,0,0,70.90587325355543,70.46847942533017
4509,0,0,40.547247705444846,84.75046166750273,0,0,70.06532561319912,69.85828078149645
12314,0,0,94.44864464728533,94.44864464728533,0,0,56.146440496708,56.146440496708
12420,0,0,42.020123336523376,45.35965768521141,0,0,41.182362149633164,44.65982635857523
12416,0,0,4.335710230001288,4.335710230001288,0,0,52.7389474708462,52.7389474708462
